term 8, 30000 pasos de N*N
temp	mag	en
3.609989	0.270211	-0.270211
3.599989	0.270686	-0.270686
3.589989	0.271353	-0.271353
3.579989	0.272295	-0.272295
3.569989	0.273347	-0.273347
3.559989	0.273594	-0.273594
3.549989	0.274486	-0.274486
3.539989	0.275322	-0.275322
3.529989	0.276262	-0.276262
3.519989	0.277122	-0.277122
3.509989	0.277558	-0.277558
3.499989	0.278081	-0.278081
3.489989	0.279058	-0.279058
3.479989	0.279376	-0.279376
3.469989	0.280531	-0.280531
3.459989	0.281358	-0.281358
3.449989	0.281873	-0.281873
3.439989	0.282597	-0.282597
3.429989	0.283629	-0.283629
3.419989	0.284542	-0.284542
3.409989	0.284981	-0.284981
3.399989	0.285328	-0.285328
3.389989	0.286349	-0.286349
3.379989	0.287423	-0.287423
3.369989	0.288839	-0.288839
3.359989	0.289073	-0.289073
3.349989	0.289547	-0.289547
3.339989	0.290972	-0.290972
3.329989	0.291329	-0.291329
3.319989	0.292412	-0.292412
3.309989	0.293353	-0.293353
3.299989	0.294359	-0.294359
3.289989	0.294534	-0.294534
3.279989	0.296054	-0.296054
3.269989	0.296708	-0.296708
3.259990	0.297363	-0.297363
3.249990	0.298515	-0.298515
3.239990	0.299597	-0.299597
3.229990	0.300389	-0.300389
3.219990	0.300910	-0.300910
3.209990	0.302215	-0.302215
3.199990	0.302641	-0.302641
3.189990	0.303500	-0.303500
3.179990	0.304454	-0.304454
3.169990	0.305685	-0.305685
3.159990	0.306188	-0.306188
3.149990	0.307227	-0.307227
3.139990	0.308073	-0.308073
3.129990	0.309001	-0.309001
3.119990	0.310319	-0.310319
3.109990	0.310703	-0.310703
3.099990	0.311945	-0.311945
3.089990	0.312386	-0.312386
3.079990	0.314038	-0.314038
3.069990	0.314429	-0.314429
3.059990	0.315522	-0.315522
3.049990	0.316330	-0.316330
3.039990	0.317541	-0.317541
3.029990	0.318383	-0.318383
3.019990	0.319993	-0.319993
3.009990	0.320808	-0.320808
2.999990	0.321820	-0.321820
2.989990	0.322696	-0.322696
2.979990	0.323385	-0.323385
2.969990	0.324582	-0.324582
2.959990	0.325618	-0.325618
2.949990	0.326507	-0.326507
2.939990	0.327840	-0.327840
2.929990	0.328830	-0.328830
2.919990	0.329561	-0.329561
2.909990	0.330746	-0.330746
2.899990	0.331916	-0.331916
2.889990	0.333007	-0.333007
2.879990	0.333743	-0.333743
2.869990	0.335426	-0.335426
2.859990	0.335707	-0.335707
2.849990	0.337104	-0.337104
2.839990	0.338613	-0.338613
2.829990	0.339176	-0.339176
2.819990	0.340621	-0.340621
2.809990	0.341385	-0.341385
2.799990	0.342577	-0.342577
2.789990	0.343982	-0.343982
2.779990	0.345047	-0.345047
2.769990	0.345958	-0.345958
2.759990	0.347522	-0.347522
2.749990	0.348412	-0.348412
2.739990	0.349461	-0.349461
2.729990	0.351092	-0.351092
2.719990	0.352041	-0.352041
2.709990	0.352927	-0.352927
