term 586, 20000 pasos de N*N
temp	mag	var_m	en	var_e
3.030001	0.082592	4087.592529	-0.806067	3642.025879
3.020001	0.083454	4086.190674	-0.809197	3679.628174
3.010001	0.083925	4176.403320	-0.813330	3645.698975
3.000001	0.085059	4265.755859	-0.817600	3667.076172
2.990001	0.085271	4290.558105	-0.821078	3717.588135
2.980001	0.087139	4398.616211	-0.825319	3734.579834
2.970001	0.087040	4424.842285	-0.829142	3762.356934
2.960001	0.088720	4589.359863	-0.833852	3784.641357
2.950001	0.088804	4640.971680	-0.837710	3836.732422
2.940001	0.090960	4799.754883	-0.841987	3866.266113
2.930001	0.091149	4862.146973	-0.845936	3873.591064
2.920001	0.092149	4937.093262	-0.850422	3826.998047
2.910001	0.092948	5043.202637	-0.856039	3882.722900
2.900001	0.093332	5246.604492	-0.859740	3891.391357
2.890001	0.094431	5247.259277	-0.865107	3931.500488
2.880001	0.096345	5351.411133	-0.869262	3959.571045
2.870001	0.097698	5565.663086	-0.874500	3952.753174
2.860001	0.099166	5657.708008	-0.878771	4006.230225
2.850001	0.098517	5744.080566	-0.883489	3938.942383
2.840001	0.100368	5840.285645	-0.886946	4057.222656
2.830001	0.101571	6020.753418	-0.893266	4112.013184
2.820001	0.103212	6177.464844	-0.898228	4074.781250
2.810001	0.104870	6440.783203	-0.903027	4182.667480
2.800001	0.106582	6581.025391	-0.908361	4226.858887
2.790001	0.107185	6665.839355	-0.913134	4132.126465
2.780001	0.109008	6772.831055	-0.917424	4308.238281
2.770001	0.110135	7057.033691	-0.924328	4250.926270
2.760001	0.112865	7266.125488	-0.929105	4292.694336
2.750001	0.114127	7586.484375	-0.934760	4304.535645
2.740001	0.114988	7662.312500	-0.940449	4331.555176
2.730001	0.116761	7868.258301	-0.945840	4358.373535
2.720001	0.120330	8298.938477	-0.952163	4362.974121
2.710001	0.121972	8650.722656	-0.957415	4481.492676
2.700001	0.123801	8903.444336	-0.963372	4507.508789
2.690001	0.124453	8986.126953	-0.968825	4526.509766
2.680001	0.127804	9459.071289	-0.976349	4530.511719
2.670001	0.130332	9598.384766	-0.981714	4601.264160
2.660001	0.132941	10055.236328	-0.989377	4547.222656
2.650001	0.134968	10466.289062	-0.994175	4687.550781
2.640001	0.137949	10892.592773	-1.001234	4629.028320
2.630001	0.141323	11356.095703	-1.007564	4789.755371
2.620001	0.143183	11776.864258	-1.014944	4854.837402
2.610001	0.148031	12375.129883	-1.021180	4873.756348
2.600001	0.150433	12879.460938	-1.028970	4963.978027
2.600000	0.151458	12628.595703	-1.029115	4934.877441
2.595000	0.153939	13109.742188	-1.032279	4926.085449
2.590000	0.153621	13101.707031	-1.035507	4960.246094
2.585000	0.158449	13757.719727	-1.039580	5161.556641
2.579999	0.157248	13507.129883	-1.042421	4979.035156
2.574999	0.160487	14149.339844	-1.046805	5143.635254
2.569999	0.162366	14608.489258	-1.050370	5013.858887
2.564999	0.164041	14877.607422	-1.054071	5082.883301
2.559999	0.166397	15126.040039	-1.058109	5127.924805
2.554999	0.169820	15483.544922	-1.062581	5187.040039
2.549999	0.171815	16204.044922	-1.065878	5281.910645
2.544999	0.174078	16551.519531	-1.069586	5343.584961
2.539999	0.177365	16964.107422	-1.073093	5245.151367
2.534998	0.180009	17493.755859	-1.077256	5281.696777
2.529998	0.183009	18066.406250	-1.081985	5378.370605
2.524998	0.184619	18469.076172	-1.085481	5515.359375
2.519998	0.190794	19114.894531	-1.090749	5576.651855
2.514998	0.191071	19245.548828	-1.094091	5560.073242
2.509998	0.192312	19440.958984	-1.097979	5540.926758
2.504998	0.199953	20815.464844	-1.103446	5634.461426
2.499998	0.202506	21328.193359	-1.107272	5743.358887
2.494998	0.205845	22063.207031	-1.112393	5828.159180
2.489997	0.207834	22143.406250	-1.116092	5839.979980
2.484997	0.213072	23114.148438	-1.120841	5866.548340
2.479997	0.215817	23657.523438	-1.125252	5998.808594
2.474997	0.218615	24486.390625	-1.129744	6032.748047
2.469997	0.226337	25097.457031	-1.135255	6063.081055
2.464997	0.232184	26487.951172	-1.141203	6213.837402
2.459997	0.232548	26449.683594	-1.144858	6210.473145
2.454997	0.241379	28084.419922	-1.149651	6326.895020
2.449996	0.244698	28891.525391	-1.154811	6487.506836
2.444996	0.251684	29953.808594	-1.160591	6716.529297
2.439996	0.256514	31315.933594	-1.165376	6624.198242
2.434996	0.261908	30954.023438	-1.170351	6576.459473
2.429996	0.266597	31430.802734	-1.176240	6782.258789
2.424996	0.273285	33130.394531	-1.182159	6890.445312
2.419996	0.286108	34631.203125	-1.188157	7012.781250
2.414996	0.292034	35909.984375	-1.193761	7319.175293
2.409996	0.296199	36788.070312	-1.199965	7286.938477
2.404995	0.313451	37767.894531	-1.207255	7533.880371
2.399995	0.318120	39638.160156	-1.213028	7717.757812
2.394995	0.322604	39844.757812	-1.218394	7652.882324
2.389995	0.332100	40986.421875	-1.225218	7785.704102
2.384995	0.341257	42462.921875	-1.231962	8002.467285
2.379995	0.361177	44623.273438	-1.242327	8495.571289
2.374995	0.368300	44782.761719	-1.247608	8422.938477
2.369995	0.379135	45330.023438	-1.255016	8653.869141
2.364995	0.384564	46640.816406	-1.261039	8694.334961
2.359994	0.398780	47939.746094	-1.269428	8969.198242
2.354994	0.406889	48079.460938	-1.276550	8899.284180
2.349994	0.427997	48105.851562	-1.285454	9378.059570
2.344994	0.434941	48995.824219	-1.293240	9332.378906
2.339994	0.454407	49164.363281	-1.302707	9662.482422
2.334994	0.465400	49040.652344	-1.310541	9822.571289
2.329994	0.476779	49554.519531	-1.319320	9889.982422
2.324994	0.489040	49950.734375	-1.327445	10070.041992
2.319993	0.504543	49394.082031	-1.337408	10163.913086
2.314993	0.522616	47730.441406	-1.346404	10251.002930
2.309993	0.532213	47164.347656	-1.354147	10277.741211
2.304993	0.555682	45003.429688	-1.366010	10339.714844
2.299993	0.569536	43947.093750	-1.376274	10345.016602
2.294993	0.577735	44104.019531	-1.383740	10296.306641
