term 489, 10000 pasos de N*N
temp	Mag	En
1.049999	0.998879	-1.995626
1.059999	0.998872	-1.995604
1.069999	0.998784	-1.995266
1.079999	0.998629	-1.994664
1.089999	0.998479	-1.994093
1.099999	0.998437	-1.993922
1.109999	0.998259	-1.993287
1.119999	0.998197	-1.993019
1.129999	0.998067	-1.992527
1.139999	0.997993	-1.992224
1.149999	0.997821	-1.991588
1.159999	0.997704	-1.991140
1.169999	0.997522	-1.990502
1.179999	0.997380	-1.989932
1.189999	0.997223	-1.989334
1.199999	0.997013	-1.988551
1.209999	0.996888	-1.988113
1.219999	0.996570	-1.986879
1.229999	0.996389	-1.986213
1.239999	0.996192	-1.985465
1.249999	0.996062	-1.985018
1.259999	0.995866	-1.984278
1.269999	0.995451	-1.982801
1.279999	0.995388	-1.982519
1.289999	0.995145	-1.981551
1.299999	0.994786	-1.980283
1.309999	0.994480	-1.979198
1.319999	0.994188	-1.978128
1.329999	0.993870	-1.976983
1.339999	0.993696	-1.976381
1.349999	0.993228	-1.974661
1.359999	0.992926	-1.973558
1.369999	0.992376	-1.971668
1.379999	0.992203	-1.971071
1.389999	0.991707	-1.969340
1.399999	0.991535	-1.968594
1.409999	0.990999	-1.966680
1.419999	0.990589	-1.965309
1.429999	0.989849	-1.962770
1.439999	0.989705	-1.962104
1.449999	0.989106	-1.960070
1.459999	0.988573	-1.958206
1.469999	0.988273	-1.957268
1.479999	0.987517	-1.954629
1.489999	0.986914	-1.952506
1.499999	0.986582	-1.951252
1.509999	0.985710	-1.948496
1.519999	0.985301	-1.946980
1.529999	0.984780	-1.945341
1.539999	0.984158	-1.943095
1.549999	0.983329	-1.940553
1.559999	0.982821	-1.938497
1.569999	0.981845	-1.935361
1.579999	0.981202	-1.933312
1.589999	0.980372	-1.930695
1.599999	0.979775	-1.928548
1.609999	0.978862	-1.925708
1.619999	0.978058	-1.923067
1.629999	0.977009	-1.919863
1.639999	0.976303	-1.917517
1.649999	0.975426	-1.914645
1.659999	0.974192	-1.911186
1.669999	0.973317	-1.908023
1.679999	0.972276	-1.904939
1.689999	0.971234	-1.901402
1.699999	0.970178	-1.898650
1.709999	0.968771	-1.894284
1.719999	0.967566	-1.890814
1.729999	0.966606	-1.887618
1.739999	0.965664	-1.884752
1.749999	0.963946	-1.879884
1.759999	0.962779	-1.876117
1.769999	0.961657	-1.872388
1.779999	0.960007	-1.868488
1.789999	0.957651	-1.862211
1.799999	0.956261	-1.857588
1.809999	0.955001	-1.854661
1.819999	0.954583	-1.852176
1.829999	0.952061	-1.845551
1.839999	0.950482	-1.841692
1.849999	0.947523	-1.833930
1.859999	0.946287	-1.830569
1.869999	0.944213	-1.825250
1.879999	0.941995	-1.819405
1.889999	0.940236	-1.814197
1.899999	0.937870	-1.808400
1.909999	0.936786	-1.804600
1.919999	0.933465	-1.798008
1.929999	0.931570	-1.792604
1.939999	0.928918	-1.785781
1.949998	0.924650	-1.776972
1.959998	0.922993	-1.771367
1.969998	0.921357	-1.768032
1.979998	0.916757	-1.758824
1.989998	0.916031	-1.754544
1.999998	0.910197	-1.743532
2.009999	0.907153	-1.736356
2.019999	0.904018	-1.731178
2.029999	0.900434	-1.722269
2.039999	0.897070	-1.715559
2.049999	0.893597	-1.706601
2.059999	0.889241	-1.698685
2.069999	0.884795	-1.689011
2.079998	0.879122	-1.679954
2.089998	0.869968	-1.665951
2.099998	0.865031	-1.657355
2.109998	0.861795	-1.651254
2.119998	0.853004	-1.638429
2.129998	0.844344	-1.627762
2.139998	0.842117	-1.619618
2.149998	0.843658	-1.613863
2.159998	0.827661	-1.599786
2.169998	0.816886	-1.586497
2.179998	0.808468	-1.571546
2.189998	0.811175	-1.567454
2.199998	0.757524	-1.535057
2.209998	0.782656	-1.534822
2.219998	0.752191	-1.514287
2.229998	0.707503	-1.485366
2.239998	0.760162	-1.504756
2.249998	0.648652	-1.449627
2.259998	0.591871	-1.425086
2.269998	0.613274	-1.417220
2.279998	0.618034	-1.412480
2.289998	0.613538	-1.405791
2.299998	0.556915	-1.367380
2.309998	0.576751	-1.364055
2.319998	0.514711	-1.338205
2.329998	0.495071	-1.325308
2.339998	0.410144	-1.290392
2.349998	0.412787	-1.278823
